-16.3,-25,0.1,2.5,0
-15,-23.3,0.1,2.3,0
-14.8,-22.3,0.1,2.3,0
-15,-23.3,0.1,2.2,0
-18.4,-29.6,0.4,2.4,0
-17.1,-27.8,1,3,0
-14.7,-24.1,1.3,3.1,0
-12.6,-19.7,1.4,2.9,0
-6.5,-7.3,1.4,3.3,0
-12.5,-20.7,1.2,3.9,0
-12.6,-20.9,1.2,3.6,0
-8.9,-13.8,1.2,3.1,0
-10.1,-16.9,1.1,3.5,0
-9.4,-15.4,1.1,3.8,0
-10.9,-19.9,0.9,4.1,0
-9.2,-17.8,0.7,5.1,0
-2.9,-6.5,0.1,4.8,0
0.1,-0.9,-0.3,4.1,0
1.1,1,-0.3,3.9,0
5.4,9.1,-0.2,3.9,1
10.8,20.3,-0.3,3.6,1
15.2,30.7,-0.3,3.4,1
10.9,19.9,-2.2,3.4,1
9.3,14.3,-2.5,3.1,1
5.4,5.8,-2.5,2.5,1
2.3,-0.4,-2.4,2.5,0
3.4,3,-2.5,2.3,0
6.4,10.4,-2.6,1.6,1
10.1,19.3,-2.1,1.7,1
6.4,10.8,-1.8,1.9,1
9.4,16.5,-1.7,1.6,1
6.9,10.7,-1.7,1.6,1
5.5,8.5,-1.7,2,1
7.7,12.6,-1.8,1.8,1
7,11.1,-0.2,2.1,1
7.9,13.4,0.1,2.2,1
11.7,21.8,0.5,2.3,1
12,24.3,0.8,2.5,1
12.1,25.4,1,2.3,1
10.2,20.3,1.2,1.9,1
4.8,9.1,1.2,2,1
8.9,16.1,0.9,1.9,1
3.1,5,0.2,2.4,1
-0.3,-2.1,0.2,2.6,0
-4.8,-10.1,0.3,2.4,0
-5,-9.1,0.6,2.4,0
-0.4,-0.7,0.8,2.3,0
1.7,3.1,0.9,2.3,0
-0.5,-0.2,0.7,2.8,0
-3.4,-5.4,0.6,2.8,0
-2,-3.3,0.6,3.3,0
-4.4,-7.1,0.6,4.3,0
-4.8,-8.2,0.4,4.4,0
-4.2,-7.3,0.5,5.1,0
-0.6,-1.2,1.4,5.1,0
3.4,7.9,1.4,5.1,1
6.2,12.8,1.5,5.1,1
2.8,5.6,1.5,5.3,1
-5.7,-10.2,1.5,5.5,0
-17.7,-32,1.6,5.8,0
-18.9,-33.8,1.6,5.9,0
-12.6,-23.4,1.4,6,0
-11.2,-20.3,2.3,5.9,0
-9,-16.8,2.3,5.3,0
-7.7,-15.4,2.1,4.9,0
-9.2,-18,2.1,3.7,0
-9.4,-19.3,1.9,3.2,0
-7,-15.2,2,2.8,0
-3.6,-8.6,1.7,2.9,0
2.4,1.5,1.7,3,0
13.2,22.5,1.5,2.7,1
25.1,49.6,1.7,2.2,1
28.5,56.2,1.9,1.5,1
24.5,45.1,2.1,1,1
23.8,41.8,1.1,0.8,1
25,42.7,1.2,1,1
24.8,42.1,1.7,0.9,1
30,49.6,1.8,1.7,1
33.3,58.1,1.7,2.1,1
29.3,49.6,1.6,2.5,1
27,40,1.6,2.7,1
25.6,38,1.6,2.4,1
32,48,1.5,2.9,1
30.3,43.6,1,3.5,1
34.6,48.7,0.8,4,1
41.6,59.9,0.8,4.8,1
32.9,44,0.5,5.1,1
23.8,25.6,0.5,5.6,1
19.8,18.2,0.2,6.5,1
17.6,17.5,0,5.4,1
13.1,10.1,0.7,4.4,1
7.3,-1.5,0.7,4.1,1
8.7,1.5,1,3,1
5.2,-2,1,2.1,0
-6.4,-17.4,1.4,1,0
-5.1,-12.2,1.6,0.4,0
-11.7,-19.7,1.5,-0.1,0
-16.7,-26.5,1.1,-0.8,0
-12.5,-19.9,1.2,-1.5,0
-3.6,-3.3,1,-2.1,0
-0.5,3,1,-2.6,0
-4.5,-5.3,0.9,-2,0
-5.4,-8.9,-0.1,-0.9,0
-2,-1.9,-0.1,-0.5,0
-4.6,-6.4,0,0.6,0
