-3,-13.1,1.9,4.7,0
-2.4,-9,0.9,4.8,0
-2.1,-17.3,0,5,0
-2.9,-15.4,-3.1,4.8,0
-3.2,-3.7,-3.9,5.3,0
-1.7,-0.2,-3.2,5.1,0
-1.7,-7.3,-2.7,5.1,0
-2.1,7.2,-2.9,5.4,0
-2,19.3,-2.6,5.5,1
-1.8,24.8,-1.9,5.6,1
-1.9,29.3,-0.8,5.1,1
-2.3,43.1,-0.2,5.1,1
-3.6,37.6,0.8,4.7,1
-3.8,15.8,2.8,4.4,1
-3.6,8.1,3.7,4.5,1
-2.6,8.4,3.2,4.6,1
-2.1,8.1,3.1,4.3,1
-2.7,14.5,3.3,4.2,1
-2.1,21,3.8,4.4,1
-1.6,9.8,3.2,4,1
-1.9,5.5,2.7,4.1,1
-2.1,6.8,2.6,4.2,1
-1.9,8.3,3.1,4.3,1
-1.7,2,3.2,4.7,0
-0.1,1.6,1.6,5.2,0
0.3,11,0.9,5.3,1
0.7,30,0.6,5.1,1
0.5,33.4,1.9,5.2,1
-0.3,26.5,2,5.2,1
-0.6,16.5,2.2,5.2,1
-0.7,9.6,1.6,5,1
-0.6,26.6,0.9,5.1,1
-0.1,30.9,2.3,5,1
-0.2,26.1,2.1,4.9,1
0.3,14.3,3.5,5,1
0.1,14.7,3.2,5,1
0,16.8,4.3,5,1
-0.5,24.2,4.1,5,1
-0.8,10.3,5,5,1
-1.5,6.9,5.6,4.8,1
-1.8,19.5,5.5,4.8,1
-0.6,31.3,5.7,4.4,1
-0.6,54.8,6.4,4.4,1
-1.1,37,8.4,4.6,1
-1.2,16.1,11.4,4.8,1
-1.1,16.1,10.7,4.5,1
-1,27.4,15,4.1,1
-1.8,20.6,15.4,4.1,1
-1.2,17,14.9,4.1,1
-0.2,21.5,14.8,4.1,1
0,33.4,13,4.1,1
0.5,34,12.8,4.2,1
0,29.6,12.7,4,1
0.3,19.6,12,4.4,1
1,-11.9,11.8,4.4,0
0.5,-18.3,10.4,4.2,0
0.2,-4.2,6.5,4.1,0
0.9,6.4,7.5,4.1,1
0.9,-2.7,4.1,4.9,0
2.1,-1.4,3.7,5.1,0
0.5,7.2,3.8,4.9,1
-0.4,3.2,3.7,5,1
-0.8,6,4.1,5,1
-1.4,5,3.4,5,1
-0.3,-1.1,3.1,5.4,0
-1.4,-6.4,3,5.5,0
-1.8,8.7,3.1,5.6,1
-1.2,23.4,4.7,5.9,1
-0.4,37.1,5.5,5.8,1
-0.3,29.6,5.2,5.9,1
-0.2,34.5,3.7,5.7,1
-1,32.7,3.4,5,1
-1.4,26,3.7,4.8,1
-0.7,20.7,5,4.7,1
-0.6,20.8,5.8,4.7,1
-0.2,32.8,5.6,4.6,1
0.8,37.9,7.9,4.1,1
1.7,35.6,9.1,3.9,1
1.4,31.7,7.7,3.8,1
0.3,12,8.1,3.4,1
0,-29.4,8.1,3.1,0
-1,-43.1,8.6,3,0
-0.9,-40.4,8.7,3,0
0.8,-35.6,9.2,3.1,0
1.4,-39.3,8.2,3.1,0
0.9,-39.5,6.3,3.3,0
0.8,-39.4,4.8,3.2,0
1.5,-34.6,2.8,3.1,0
1.1,-37.3,0.1,3.2,0
0.6,-30,-1.2,3.2,0
1.1,-29.7,-0.1,3.3,0
1.4,-17.9,-0.6,3.2,0
1,23.6,0.1,3.5,1
1.9,53.5,-0.5,3.4,1
1.7,51.3,-1.9,3.5,1
0,36.8,-2.7,3.7,1
-0.4,41.4,-0.5,3.8,1
-0.9,38.3,0.6,3.7,1
-0.6,27,0.7,3.4,1
-0.4,3.9,0.4,3.5,0
-0.3,7.4,1.3,3.2,1
-0.4,4.4,1.6,3.2,0
-1.2,5.1,1.1,3.7,0
-1.2,9.5,0.6,3.6,1
-0.8,7.3,0.3,3.4,1
-1.1,13.8,0.7,3.4,1
0,13.4,1.2,3,1
-0.4,19.2,2.2,3,1
-0.6,27.5,1,2.7,1
0.1,33.1,0.6,2.8,1
1,36.9,1.8,3,1
1.9,35.6,1.5,2.9,1
3.1,33.6,2,3.2,1
4.2,32.4,1.9,3.3,1
3.5,33.3,2.7,2.8,1
4.2,23.5,2.9,3.1,1
